date	open	close
30-Apr-12	583	583
27-Apr-12	603	533
26-Apr-12	607	535
25-Apr-12	610	610
24-Apr-12	590	535
23-Apr-12	571	571
20-Apr-12	572	572
19-Apr-12	587	587
18-Apr-12	608	535
17-Apr-12	609	583
16-Apr-12	580	533
13-Apr-12	605	535
12-Apr-12	622	622
11-Apr-12	626	626
10-Apr-12	628	628
9-Apr-12	636	636
5-Apr-12	633	633
4-Apr-12	624	535
3-Apr-12	629	583
2-Apr-12	618	533
30-Mar-12	599	535
29-Mar-12	609	609
28-Mar-12	617	617
27-Mar-12	614	614
26-Mar-12	606	606
23-Mar-12	596	596
22-Mar-12	599	599
21-Mar-12	602	535
20-Mar-12	605	583
19-Mar-12	601	533
16-Mar-12	585	535
