date	year	week	nr	relevance	quality	comment
05.01.1984	1	1	1	9	5	Geburt
12.01.1984	1	2	2			
19.01.1984	1	3	3			
26.01.1984	1	4	4			
02.02.1984	1	5	5			
09.02.1984	1	6	6			
16.02.1984	1	7	7			
23.02.1984	1	8	8			
01.03.1984	1	9	9			
08.03.1984	1	10	10			
15.03.1984	1	11	11			
22.03.1984	1	12	12			
29.03.1984	1	13	13			
05.04.1984	1	14	14			
12.04.1984	1	15	15			
19.04.1984	1	16	16			
26.04.1984	1	17	17			
03.05.1984	1	18	18			
10.05.1984	1	19	19			
17.05.1984	1	20	20			
24.05.1984	1	21	21			
31.05.1984	1	22	22			
07.06.1984	1	23	23			
14.06.1984	1	24	24			
21.06.1984	1	25	25			
28.06.1984	1	26	26			
05.07.1984	1	27	27			
12.07.1984	1	28	28			
19.07.1984	1	29	29			
26.07.1984	1	30	30			
02.08.1984	1	31	31			
09.08.1984	1	32	32			
16.08.1984	1	33	33			
23.08.1984	1	34	34			
30.08.1984	1	35	35			
06.09.1984	1	36	36			
13.09.1984	1	37	37			
20.09.1984	1	38	38			
27.09.1984	1	39	39			
04.10.1984	1	40	40			
11.10.1984	1	41	41			
18.10.1984	1	42	42			
25.10.1984	1	43	43			
01.11.1984	1	44	44			
08.11.1984	1	45	45			
15.11.1984	1	46	46			
22.11.1984	1	47	47			
29.11.1984	1	48	48			
06.12.1984	1	49	49			
13.12.1984	1	50	50			
20.12.1984	1	51	51			
27.12.1984	1	52	52			
03.01.1985	1	53	53			
10.01.1985	2	1	54			
17.01.1985	2	2	55			
24.01.1985	2	3	56			
31.01.1985	2	4	57			
07.02.1985	2	5	58			
14.02.1985	2	6	59			
21.02.1985	2	7	60			
28.02.1985	2	8	61			
07.03.1985	2	9	62			
14.03.1985	2	10	63			
21.03.1985	2	11	64			
28.03.1985	2	12	65			
04.04.1985	2	13	66			
11.04.1985	2	14	67			
18.04.1985	2	15	68			
25.04.1985	2	16	69			
02.05.1985	2	17	70			
09.05.1985	2	18	71			
16.05.1985	2	19	72			
23.05.1985	2	20	73			
30.05.1985	2	21	74			
06.06.1985	2	22	75			
13.06.1985	2	23	76			
20.06.1985	2	24	77			
27.06.1985	2	25	78			
04.07.1985	2	26	79			
11.07.1985	2	27	80			
18.07.1985	2	28	81			
25.07.1985	2	29	82			
01.08.1985	2	30	83			
08.08.1985	2	31	84			
15.08.1985	2	32	85			
22.08.1985	2	33	86			
29.08.1985	2	34	87			
05.09.1985	2	35	88			
12.09.1985	2	36	89			
19.09.1985	2	37	90			
26.09.1985	2	38	91			
03.10.1985	2	39	92			
10.10.1985	2	40	93			
17.10.1985	2	41	94			
24.10.1985	2	42	95			
31.10.1985	2	43	96			
07.11.1985	2	44	97			
14.11.1985	2	45	98			
21.11.1985	2	46	99			
28.11.1985	2	47	100			
05.12.1985	2	48	101			
12.12.1985	2	49	102			
19.12.1985	2	50	103			
26.12.1985	2	51	104			
02.01.1986	2	52	105			
09.01.1986	3	1	106			
16.01.1986	3	2	107			
23.01.1986	3	3	108			
30.01.1986	3	4	109			
06.02.1986	3	5	110			
13.02.1986	3	6	111			
20.02.1986	3	7	112			
27.02.1986	3	8	113			
06.03.1986	3	9	114			
13.03.1986	3	10	115			
20.03.1986	3	11	116			
27.03.1986	3	12	117			
03.04.1986	3	13	118			
10.04.1986	3	14	119			
17.04.1986	3	15	120			
24.04.1986	3	16	121			
01.05.1986	3	17	122			
08.05.1986	3	18	123			
15.05.1986	3	19	124			
22.05.1986	3	20	125			
29.05.1986	3	21	126			
05.06.1986	3	22	127			
12.06.1986	3	23	128			
19.06.1986	3	24	129			
26.06.1986	3	25	130			
03.07.1986	3	26	131			
10.07.1986	3	27	132			
17.07.1986	3	28	133			
24.07.1986	3	29	134			
31.07.1986	3	30	135			
07.08.1986	3	31	136			
14.08.1986	3	32	137			
21.08.1986	3	33	138			
28.08.1986	3	34	139			
04.09.1986	3	35	140			
11.09.1986	3	36	141			
18.09.1986	3	37	142			
25.09.1986	3	38	143			
02.10.1986	3	39	144			
09.10.1986	3	40	145			
16.10.1986	3	41	146			
23.10.1986	3	42	147			
30.10.1986	3	43	148			
06.11.1986	3	44	149			
13.11.1986	3	45	150			
20.11.1986	3	46	151			
27.11.1986	3	47	152			
04.12.1986	3	48	153			
11.12.1986	3	49	154			
18.12.1986	3	50	155			
25.12.1986	3	51	156			
01.01.1987	3	52	157			
08.01.1987	4	1	158			
15.01.1987	4	2	159			
22.01.1987	4	3	160			
29.01.1987	4	4	161			
05.02.1987	4	5	162			
12.02.1987	4	6	163			
19.02.1987	4	7	164			
26.02.1987	4	8	165			
05.03.1987	4	9	166			
12.03.1987	4	10	167			
19.03.1987	4	11	168			
26.03.1987	4	12	169			
02.04.1987	4	13	170			
09.04.1987	4	14	171			
16.04.1987	4	15	172			
23.04.1987	4	16	173			
30.04.1987	4	17	174			
07.05.1987	4	18	175			
14.05.1987	4	19	176			
21.05.1987	4	20	177			
28.05.1987	4	21	178			
04.06.1987	4	22	179			
11.06.1987	4	23	180			
18.06.1987	4	24	181			
25.06.1987	4	25	182			
02.07.1987	4	26	183			
09.07.1987	4	27	184			
16.07.1987	4	28	185			
23.07.1987	4	29	186			
30.07.1987	4	30	187			
06.08.1987	4	31	188			
13.08.1987	4	32	189			
20.08.1987	4	33	190			
27.08.1987	4	34	191			
03.09.1987	4	35	192			
10.09.1987	4	36	193			
17.09.1987	4	37	194			
24.09.1987	4	38	195			
01.10.1987	4	39	196			
08.10.1987	4	40	197			
15.10.1987	4	41	198			
22.10.1987	4	42	199			
29.10.1987	4	43	200			
05.11.1987	4	44	201			
12.11.1987	4	45	202			
19.11.1987	4	46	203			
26.11.1987	4	47	204			
03.12.1987	4	48	205			
10.12.1987	4	49	206			
17.12.1987	4	50	207			
24.12.1987	4	51	208			
31.12.1987	4	52	209			
07.01.1988	5	1	210			
14.01.1988	5	2	211			
21.01.1988	5	3	212			
28.01.1988	5	4	213			
04.02.1988	5	5	214			
11.02.1988	5	6	215			
18.02.1988	5	7	216			
25.02.1988	5	8	217			
03.03.1988	5	9	218			
10.03.1988	5	10	219			
17.03.1988	5	11	220			
24.03.1988	5	12	221			
31.03.1988	5	13	222			
07.04.1988	5	14	223			
14.04.1988	5	15	224			
21.04.1988	5	16	225			
28.04.1988	5	17	226			
05.05.1988	5	18	227			
12.05.1988	5	19	228			
19.05.1988	5	20	229			
26.05.1988	5	21	230			
02.06.1988	5	22	231			
09.06.1988	5	23	232			
16.06.1988	5	24	233			
23.06.1988	5	25	234			
30.06.1988	5	26	235			
07.07.1988	5	27	236			
14.07.1988	5	28	237			
21.07.1988	5	29	238			
28.07.1988	5	30	239			
04.08.1988	5	31	240			
11.08.1988	5	32	241			
18.08.1988	5	33	242			
25.08.1988	5	34	243			
01.09.1988	5	35	244			
08.09.1988	5	36	245			
15.09.1988	5	37	246			
22.09.1988	5	38	247			
29.09.1988	5	39	248			
06.10.1988	5	40	249			
13.10.1988	5	41	250			
20.10.1988	5	42	251			
27.10.1988	5	43	252			
03.11.1988	5	44	253			
10.11.1988	5	45	254			
17.11.1988	5	46	255			
24.11.1988	5	47	256			
01.12.1988	5	48	257			
08.12.1988	5	49	258			
15.12.1988	5	50	259			
22.12.1988	5	51	260			
29.12.1988	5	52	261			
05.01.1989	6	1	262			
12.01.1989	6	2	263			
19.01.1989	6	3	264			
26.01.1989	6	4	265			
02.02.1989	6	5	266			
09.02.1989	6	6	267			
16.02.1989	6	7	268			
23.02.1989	6	8	269			
02.03.1989	6	9	270			
09.03.1989	6	10	271			
16.03.1989	6	11	272			
23.03.1989	6	12	273			
30.03.1989	6	13	274			
06.04.1989	6	14	275			
13.04.1989	6	15	276			
20.04.1989	6	16	277			
27.04.1989	6	17	278			
04.05.1989	6	18	279			
11.05.1989	6	19	280			
18.05.1989	6	20	281			
25.05.1989	6	21	282			
01.06.1989	6	22	283			
08.06.1989	6	23	284			
15.06.1989	6	24	285			
22.06.1989	6	25	286			
29.06.1989	6	26	287			
06.07.1989	6	27	288			
13.07.1989	6	28	289			
20.07.1989	6	29	290			
27.07.1989	6	30	291			
03.08.1989	6	31	292			
10.08.1989	6	32	293			
17.08.1989	6	33	294			
24.08.1989	6	34	295			
31.08.1989	6	35	296			
07.09.1989	6	36	297			
14.09.1989	6	37	298			
21.09.1989	6	38	299			
28.09.1989	6	39	300			
05.10.1989	6	40	301			
12.10.1989	6	41	302			
19.10.1989	6	42	303			
26.10.1989	6	43	304			
02.11.1989	6	44	305			
09.11.1989	6	45	306			
16.11.1989	6	46	307			
23.11.1989	6	47	308			
30.11.1989	6	48	309			
07.12.1989	6	49	310			
14.12.1989	6	50	311			
21.12.1989	6	51	312			
28.12.1989	6	52	313			
04.01.1990	7	1	314			
11.01.1990	7	2	315			
18.01.1990	7	3	316			
25.01.1990	7	4	317			
01.02.1990	7	5	318			
08.02.1990	7	6	319			
15.02.1990	7	7	320			
22.02.1990	7	8	321			
01.03.1990	7	9	322			
08.03.1990	7	10	323			
15.03.1990	7	11	324			
22.03.1990	7	12	325			
29.03.1990	7	13	326			
05.04.1990	7	14	327			
12.04.1990	7	15	328			
19.04.1990	7	16	329			
26.04.1990	7	17	330			
03.05.1990	7	18	331			
10.05.1990	7	19	332			
17.05.1990	7	20	333			
24.05.1990	7	21	334			
31.05.1990	7	22	335			
07.06.1990	7	23	336			
14.06.1990	7	24	337			
21.06.1990	7	25	338			
28.06.1990	7	26	339			
05.07.1990	7	27	340			
12.07.1990	7	28	341			
19.07.1990	7	29	342			
26.07.1990	7	30	343			
02.08.1990	7	31	344			
09.08.1990	7	32	345			
16.08.1990	7	33	346			
23.08.1990	7	34	347			
30.08.1990	7	35	348			
06.09.1990	7	36	349			
13.09.1990	7	37	350			
20.09.1990	7	38	351			
27.09.1990	7	39	352			
04.10.1990	7	40	353			
11.10.1990	7	41	354			
18.10.1990	7	42	355			
25.10.1990	7	43	356			
01.11.1990	7	44	357			
08.11.1990	7	45	358			
15.11.1990	7	46	359			
22.11.1990	7	47	360			
29.11.1990	7	48	361			
06.12.1990	7	49	362			
13.12.1990	7	50	363			
20.12.1990	7	51	364			
27.12.1990	7	52	365			
03.01.1991	7	53	366			
10.01.1991	8	1	367			
17.01.1991	8	2	368			
24.01.1991	8	3	369			
31.01.1991	8	4	370			
07.02.1991	8	5	371			
14.02.1991	8	6	372			
21.02.1991	8	7	373			
28.02.1991	8	8	374			
07.03.1991	8	9	375			
14.03.1991	8	10	376			
21.03.1991	8	11	377			
28.03.1991	8	12	378			
04.04.1991	8	13	379			
11.04.1991	8	14	380			
18.04.1991	8	15	381			
25.04.1991	8	16	382			
02.05.1991	8	17	383			
09.05.1991	8	18	384			
16.05.1991	8	19	385			
23.05.1991	8	20	386			
30.05.1991	8	21	387			
06.06.1991	8	22	388			
13.06.1991	8	23	389			
20.06.1991	8	24	390			
27.06.1991	8	25	391			
04.07.1991	8	26	392			
11.07.1991	8	27	393			
18.07.1991	8	28	394			
25.07.1991	8	29	395			
01.08.1991	8	30	396			
08.08.1991	8	31	397			
15.08.1991	8	32	398			
22.08.1991	8	33	399			
29.08.1991	8	34	400			
05.09.1991	8	35	401			
12.09.1991	8	36	402			
19.09.1991	8	37	403			
26.09.1991	8	38	404			
03.10.1991	8	39	405			
10.10.1991	8	40	406			
17.10.1991	8	41	407			
24.10.1991	8	42	408			
31.10.1991	8	43	409			
07.11.1991	8	44	410			
14.11.1991	8	45	411			
21.11.1991	8	46	412			
28.11.1991	8	47	413			
05.12.1991	8	48	414			
12.12.1991	8	49	415			
19.12.1991	8	50	416			
26.12.1991	8	51	417			
02.01.1992	8	52	418			
09.01.1992	9	1	419			
16.01.1992	9	2	420			
23.01.1992	9	3	421			
30.01.1992	9	4	422			
06.02.1992	9	5	423			
13.02.1992	9	6	424			
20.02.1992	9	7	425			
27.02.1992	9	8	426			
05.03.1992	9	9	427			
12.03.1992	9	10	428			
19.03.1992	9	11	429			
26.03.1992	9	12	430			
02.04.1992	9	13	431			
09.04.1992	9	14	432			
16.04.1992	9	15	433			
23.04.1992	9	16	434			
30.04.1992	9	17	435			
07.05.1992	9	18	436			
14.05.1992	9	19	437			
21.05.1992	9	20	438			
